Name,GuidId
Limp Bizkit,e084a643-54dc-4bd0-8337-dd3f88e9c15e
Linkin Park,1e7627bd-0876-42f0-be30-536dd9f72b13
Live,65805eba-9202-4685-bca9-986a4bf24b39
Living Colour,a5175806-586f-44af-a14f-71b596c48764
Lynyrd Skynyrd,f9d6ebe4-fad4-4077-a4ea-b89176f6d66f
Mamas and the Papas,9ca03600-90cf-4365-8ad7-74db398a1104
Manowar,3c6ca112-9a59-4dc2-b4fe-a9c071ba3dfd
Men at Work,fec2f190-7317-4b6d-a12e-5b69beede886
Metallica,08018783-608e-4c03-8af1-944e0ab19d3a
Mick Jagger,e94e1d71-9439-4e44-bb3c-aa808a085879
Midnight Oil,b9e497b9-9c15-4a49-ac5c-f9424554acae
Motley Crue,fb6ca026-679b-421c-bfff-e3b0cacf1727
Motorhead,00d9902f-d17b-40d2-b34d-61f8d0e8171f
Mr Big,70c76266-a291-47cb-a745-3a8676204f81
Nazareth,e55913a0-8163-49e5-a2a0-e96675a1d8c9
Neil Young,62267420-09f4-40e2-aa03-75732d3453a8
Nirvana,1e5ca5af-69ab-4648-831c-1ad210895e5a
Oasis,f58cebb1-dadc-496e-a1fa-7cc2136c892a
Ozzy Osbourne,e40bebd1-f3aa-4f10-a5bb-24d3c2a25c94
Pantera,5a678ea6-48fa-435b-806f-f9b62cd440ed
Paul McCartney and Wings,80249cda-54b9-4e55-ab78-118bac9d32a8
Pearl Jam,f58b20f5-ded1-443a-b371-7e8281838319
Peter Frampton,984071ac-dc4d-40ca-8c15-b12532e15d5d
Peter Gabriel,7e87d860-d758-4dc5-9c49-27ad8c2afb39
Peter Schilling,a55d2bf8-e97f-494f-8f37-2f5a16a1d8ce
Pink Floyd,6459840a-8abe-4167-aaec-418f0c4c7099
Queen,4bf4fb62-3537-4eff-8c81-938df220deae
Queen and David Bowie,9fedca31-7e1f-4ee2-976b-b3f3a970dc25
Queensryche,74a27017-b4db-4f20-8a56-6e25c2d98a66
Quiet Riot,dc850919-986c-4fbe-a917-b43884583ff7
Rage Against the Machine,d3dfca7f-a09e-455f-9a5e-b5bbfe961c91
Rainbow,7fda4b51-0232-4d55-ade3-350807bc5265
Ramones,8e0d7d20-667b-4492-948d-22132a1d951b
Red Hot Chili Peppers,b42d781d-d262-4a2a-bc13-ad4551082447
REM,ddb1572c-45b0-4b7e-8c35-56994ac9c0f5
Robert Plant,4169376b-9304-4aa9-bc65-4ef44c395248
Rod Stewart,b6803a7f-67d1-478b-9010-890dfa8fc804
Roy Orbison,3ea20172-cd12-412c-a74d-0eb40b44a4ba
Rush,acb6b84a-478f-44c6-bc52-81f854ba2736
Santana,24d8383c-7b69-4e04-a7d7-d03f8095d8e4
Savatage,208886b3-4c3d-4628-b66b-7bda5178e876
Scorpions,e7a29050-0cae-4215-a9c2-d6be89cdd554
Sepultura,c7273689-6c8b-48d2-b9eb-76ddbb75039c
Sex Pistols,f89abfa5-bcaa-403f-b92a-58a5a85fdaf0
Simple Minds,1b578cab-0188-4f5c-a632-800b536a5c79
Skid Row,ca5d8001-21e7-4b7c-b6e2-00b55a0f34f3
Slade,5a3dd8a8-e6b2-4757-9842-a78d57dc5755
Social Distortion,b1815405-0cf3-4cae-ae86-ff084bf63ae6
Soundgarden,66c6ff75-ba45-4756-8490-8f3dd74e595f
Steely Dan,b17db59e-93fb-45d3-ac7b-8183d6a60747
Steppenwolf,2066736d-eb40-4773-9441-a8d4dd607460
Steve Miller Band,8ad9946e-9bad-43a6-9663-94ef01199dd9
Stone Temple Pilots,bfbd190d-0a8d-4b6a-8ec1-9cbde3cb4e84
Stray Cats,1095ed95-4c9a-4938-90eb-a6f6369d350a
Supertramp,388f3e76-934c-42db-a749-2f2742b096a5
Survivor,a3bf0459-39d6-4a18-a5cc-a887e947a10d
Suzi Quatro,4f6cf809-2dc3-4a26-b343-7eef2340d33f
Sweet,7483eea4-af35-4574-9a85-1a00f09aef78
System of a Down,340b5897-5b09-4428-95d0-4db0f4f2c8e6
T Rex,d2a534a5-59e8-49df-9f0e-f8c7eded1e96
Talking Heads,a3107489-38b8-461a-99c9-57d160181c9c
Tears for Fears,3289bee4-d83c-4870-8c0c-be6af0a7c04b
Ten Years After,0f804648-a203-4ba1-ab6c-e2ce35e54b46
The Alan Parsons Project,7c9fd8ba-72dc-4f4e-99cb-6fb54b430068
The Animals,2df73550-e9c2-4a15-89c6-3c1a3cac0cad
The B-52s,2d69e6b1-c101-4e04-9110-0255392613df
The Bangles,0331beb6-a144-458b-beae-83389145b39c
The Beach Boys,0a302cad-6c01-4bdb-80fe-b7144417e585
The Beatles,6366caab-fa3c-4708-83e8-24538311af9a
The Black Crowes,593d0150-9059-4fcb-a070-3d7850e8ba61
The Blues Brothers,06a8fd13-ebd3-4cc9-996b-9df717342ecb
The Bolshoi,331f9c5d-f181-48d0-a330-b90910885a0c
The Clash,1342c638-c98c-4d22-9eef-926ed2b7f04d
The Cranberries,88f69003-40d7-49ea-af71-3acbf51b30dd
The Cult,de63e42d-022f-48b2-b165-80a913efac7a
The Cure,be14fc16-9767-406f-a0a3-f5aefdb96c89
The Darkness,35fdedbe-0aa8-4c2a-8f60-6bd7d1355076
The Doors,7adc4e2c-83e3-4dfc-9cf3-8d6bab5aa823
The Guess Who,194a0d22-2400-47e3-8a03-f70f6613af5c
The Hollies,a5085772-5809-410a-a5ee-901572c42ca4
The Jimi Hendrix Experience,abbbbc40-4748-4282-85ac-965577f2db54
The Killers,e01136a9-3c0b-4dd1-9b09-9f9deb6c85ce
The Kinks,1ac33c1d-316a-42af-aacb-0951b53b6746
The Offspring,9b520a5c-0414-4ca3-805b-9511b1f71c82
The Outfield,11b392f5-f75f-470a-bcce-cd93292102aa
The Police,85d514d1-49b3-4c2d-bcbf-63c2e9fdc1bf
The Rolling Stones,c1a005f1-c7f3-4196-85da-bcbf35184305
The Smiths,a46801c3-7101-4d0c-bd05-b4949b7bd8bb
The Struts,8ef253ea-c7dc-479b-8c46-c051991e6633
The Verve,37d6fd4e-0a28-4ef9-bbf4-5c4540bf2b6d
The White Stripes,40fd338c-37b1-47c3-ad77-0d1fe22597e5
The Who,0beaf9f2-cd97-4627-8364-83bede5d3d96
The Wonders,b7290fd7-d740-461c-963d-f8ec4f9e9ece
Thin Lizzy,400da7a1-e4f2-47c5-baae-edb67d1efca5
Three Dog Night,f4f1982d-4509-458b-90ac-279da1323d95
Tom Petty and the Heartbreakers,e30f4ccf-934f-4183-af05-81fa68785a89
Tommy James and the Shondells,b43b3a5d-121d-40cf-a135-7ca907800560
Tommy Tutone,dd2b67b4-34aa-49c2-a1fd-32b2785fc972
Toy Dolls,28033262-bfd7-4497-89ad-2d6b726fbbe0
Twisted Sister,ea72d6eb-2641-4e64-817d-9d8e11b17887
U2,06ff2f98-380c-48bf-a668-b184b2c04581
UFO,916fa2a7-2564-4e5d-9833-2f33f4ec63b0
Uriah Heep,5d48df29-6033-4538-a12f-cc05494db067
Van Halen,523cd800-1251-46e4-9711-006b9f7e1b7f
Volbeat,c92fcd44-dae3-411e-8c66-dfc1227321cc
Whitesnake,182a386f-7f19-4cb2-bc58-ac194a9e3043
Yes,de5c0123-ca33-4c8d-a52c-de9916052858
ZZ Top,b8361db4-7cbd-44d6-aa48-3e48c8f335fb
